"","CO_MUNICIPIO_RESIDENCIA","uf_res","nu_nota_cn","nu_nota_ch","nu_nota_lc","nu_nota_mt","nu_nota_redacao"
"81",2607406,"26",454.960248447205,499.384472049689,496.275155279503,452.896273291925,474.285714285714
"82",2607505,"26",458.258775510204,515.069795918367,511.460816326531,461.598367346939,517.959183673469
"83",2607604,"26",466.553830227743,517.992753623188,508.477225672878,460.719461697723,493.084886128364
"84",2607653,"26",460.499210266535,513.52625863771,503.568805528134,463.277591312932,509.160908193485
"85",2607703,"26",473.2984375,525.4403125,515.7146875,474.645625,532.9375
"86",2607752,"26",468.37332123412,513.580036297641,500.125589836661,458.058076225045,494.664246823956
"87",2607802,"26",457.308490566038,500.354716981132,492.975471698113,452.896855345912,501.852201257862
"88",2607901,"26",474.827253651844,533.131902187071,521.037014768784,480.77598660318,524.714510531838
"89",2607950,"26",441.459915611814,493.518143459916,485.616033755274,448.288185654008,489.704641350211
"90",2608008,"26",447.734895833333,499.060677083333,490.353645833333,458.82109375,467.65625
"91",2608057,"26",469.585131195335,514.704373177843,508.798833819242,470.353644314869,516.00583090379
"92",2608107,"26",471.475842696629,521.729400749064,508.129213483146,475.676029962547,544.883895131086
"93",2608206,"26",451.859398496241,496.890601503759,492.182330827068,447.601127819549,480.451127819549
"94",2608255,"26",465.350191570881,518.57662835249,502.047126436782,470.690421455939,520.766283524904
"95",2608305,"26",465.320952380952,521.130714285714,514.215952380952,469.217857142857,535.095238095238
"96",2608404,"26",452.327380952381,511.260714285714,499.437797619048,457.483035714286,526.309523809524
"97",2608453,"26",459.849637681159,510.402355072464,504.409782608696,461.699637681159,502.210144927536
"98",2608503,"26",460.50535540409,506.609347614411,493.363193768257,457.09688412853,495.365141187926
"99",2608602,"26",469.923943661972,533.776056338028,509.703521126761,472.615492957746,537.183098591549
"100",2608701,"26",458.276363636364,505.557272727273,493.788787878788,461.220606060606,510.060606060606
"101",2608750,"26",454.933424283765,501.025375170532,495.811459754434,456.575306957708,477.162346521146
"102",2608800,"26",466.322507788162,522.41207165109,510.817133956386,476.770638629283,533.380062305296
"103",2608909,"26",483.732229885057,531.392229885057,519.976781609195,489.31632183908,544.827586206897
"104",2609006,"26",472.351324503311,517.165397350993,506.340066225166,470.645695364238,544.53642384106
"105",2609105,"26",473.413411078717,521.737900874636,511.81749271137,460.264139941691,543.615160349854
"106",2609154,"26",438.714102564103,480.453846153846,483.058974358974,440.270512820513,447.692307692308
"107",2609204,"26",442.142396313364,492.259447004608,489.765437788018,444.103686635945,483.778801843318
"108",2609303,"26",457.652013422819,498.83389261745,489.769798657718,459.365771812081,475.167785234899
"109",2609402,"26",466.486813778256,518.967653390743,508.82524219591,467.551506996771,505.285252960172
"110",2609501,"26",466.001764234162,518.904570970329,505.692782678428,458.819807538091,514.327987169206
"111",2609600,"26",481.414071740807,538.699562869632,523.648148624325,484.532180509128,536.427616353819
"112",2609709,"26",463.274647887324,512.429295774648,507.176338028169,460.45338028169,530.676056338028
"113",2609808,"26",442.988,482.653111111111,483.136222222222,446.380444444444,463.422222222222
"114",2609907,"26",461.563833075734,511.941190108192,499.38686244204,464.702550231839,505.625965996909
"115",2610004,"26",466.680940115905,521.005602060528,510.30804893754,470.982678686413,529.233741146169
"116",2610103,"26",451.049418604651,506.049418604651,492.087790697674,446.077325581395,506.627906976744
"117",2610202,"26",459.866305818674,510.107442489851,500.388768606225,459.765223274696,540.514208389716
