"","data","nome_aeroporto","tipo_transporte","tipo_voo","pousos_no_mes","decolagens_no_mes","pou_dec_no_mes","embarcado_no_mes","desembarcado_no_mes","emb_desemb_no_mes","carregada_no_mes","descarregada_no_mes","car_descar_no_mes","transito_no_mes"
"80",2012-04-01,"sbma","transporte não regular","voo internacional",3,3,6,0,0,0,0,0,0,0
"81",2012-04-01,"sbmk","transporte regular","voo doméstico",320,323,643,15482,15186,30668,0,0,0,0
"82",2012-04-01,"sbmk","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"83",2012-04-01,"sbmk","transporte não regular","voo doméstico",218,216,434,127,154,281,0,0,0,0
"84",2012-04-01,"sbmk","transporte não regular","voo internacional",1,1,2,0,0,0,0,0,0,0
"85",2012-04-01,"sbmq","transporte regular","voo doméstico",208,209,417,21340,23016,44356,22300,32000,54300,0
"86",2012-04-01,"sbmq","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"87",2012-04-01,"sbmq","transporte não regular","voo doméstico",231,229,460,424,219,643,0,0,0,0
"88",2012-04-01,"sbmq","transporte não regular","voo internacional",7,5,12,0,0,0,0,0,0,0
"89",2012-04-01,"sbmt","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"90",2012-04-01,"sbmt","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"91",2012-04-01,"sbmt","transporte não regular","voo doméstico",6209,6231,12440,18635,18471,37106,0,0,0,0
"92",2012-04-01,"sbmt","transporte não regular","voo internacional",11,10,21,0,0,0,0,0,0,0
"93",2012-04-01,"sbnf","transporte regular","voo doméstico",622,624,1246,54079,52612,106691,0,0,0,0
"94",2012-04-01,"sbnf","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"95",2012-04-01,"sbnf","transporte não regular","voo doméstico",383,383,766,1668,2024,3692,0,0,0,0
"96",2012-04-01,"sbnf","transporte não regular","voo internacional",6,7,13,14,14,28,0,0,0,0
"97",2012-04-01,"sbpb","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"98",2012-04-01,"sbpb","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"99",2012-04-01,"sbpb","transporte não regular","voo doméstico",52,52,104,95,93,188,0,0,0,0
"100",2012-04-01,"sbpb","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"101",2012-04-01,"sbpj","transporte regular","voo doméstico",371,372,743,25690,25809,51499,0,0,0,0
"102",2012-04-01,"sbpj","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"103",2012-04-01,"sbpj","transporte não regular","voo doméstico",386,391,777,534,421,955,18500,28237,46737,0
"104",2012-04-01,"sbpj","transporte não regular","voo internacional",5,5,10,0,10,10,0,0,0,0
"105",2012-04-01,"sbpk","transporte regular","voo doméstico",82,82,164,251,184,435,0,0,0,0
"106",2012-04-01,"sbpk","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"107",2012-04-01,"sbpk","transporte não regular","voo doméstico",31,29,60,106,111,217,0,0,0,0
"108",2012-04-01,"sbpk","transporte não regular","voo internacional",0,1,1,3,0,3,0,0,0,0
"109",2012-04-01,"sbpl","transporte regular","voo doméstico",205,206,411,19965,20060,40025,0,0,0,0
"110",2012-04-01,"sbpl","transporte regular","voo internacional",4,4,8,0,0,0,0,0,0,0
"111",2012-04-01,"sbpl","transporte não regular","voo doméstico",67,69,136,43,48,91,0,0,0,0
"112",2012-04-01,"sbpl","transporte não regular","voo internacional",1,1,2,0,0,0,0,0,0,0
"113",2012-04-01,"sbpp","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"114",2012-04-01,"sbpp","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"115",2012-04-01,"sbpp","transporte não regular","voo doméstico",58,60,118,144,133,277,0,0,0,0
"116",2012-04-01,"sbpp","transporte não regular","voo internacional",8,8,16,4,4,8,0,0,0,0
"117",2012-04-01,"sbpr","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"118",2012-04-01,"sbpr","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"119",2012-04-01,"sbpr","transporte não regular","voo doméstico",1839,1842,3681,1937,1844,3781,0,0,0,0
"120",2012-04-01,"sbpr","transporte não regular","voo internacional",1,1,2,0,0,0,0,0,0,0
"121",2012-04-01,"sbpv","transporte regular","voo doméstico",596,595,1191,42682,41831,84513,45588,236756,282344,0
"122",2012-04-01,"sbpv","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"123",2012-04-01,"sbpv","transporte não regular","voo doméstico",308,307,615,0,0,0,0,0,0,0
"124",2012-04-01,"sbpv","transporte não regular","voo internacional",1,1,2,6,6,12,0,0,0,0
"125",2012-04-01,"sbrb","transporte regular","voo doméstico",185,185,370,14216,14575,28791,0,0,0,0
"126",2012-04-01,"sbrb","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"127",2012-04-01,"sbrb","transporte não regular","voo doméstico",337,334,671,960,952,1912,0,0,0,0
"128",2012-04-01,"sbrb","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"129",2012-04-01,"sbrj","transporte regular","voo doméstico",4167,4184,8351,377742,363395,741137,0,0,0,0
"130",2012-04-01,"sbrj","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"131",2012-04-01,"sbrj","transporte não regular","voo doméstico",1514,1502,3016,846,786,1632,0,0,0,0
"132",2012-04-01,"sbrj","transporte não regular","voo internacional",13,13,26,0,0,0,0,0,0,0
"133",2012-04-01,"sbsj","transporte regular","voo doméstico",125,125,250,6731,6478,13209,0,0,0,0
"134",2012-04-01,"sbsj","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"135",2012-04-01,"sbsj","transporte não regular","voo doméstico",565,554,1119,1645,1590,3235,0,0,0,0
"136",2012-04-01,"sbsj","transporte não regular","voo internacional",7,25,32,81,7,88,0,0,0,0
"137",2012-04-01,"sbsl","transporte regular","voo doméstico",822,820,1642,83041,84303,167344,0,0,0,0
"138",2012-04-01,"sbsl","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"139",2012-04-01,"sbsl","transporte não regular","voo doméstico",394,395,789,1253,1115,2368,0,0,0,0
"140",2012-04-01,"sbsl","transporte não regular","voo internacional",1,0,1,0,5,5,0,0,0,0
"141",2012-04-01,"sbsn","transporte regular","voo doméstico",342,342,684,18100,17703,35803,0,0,0,0
"142",2012-04-01,"sbsn","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"143",2012-04-01,"sbsn","transporte não regular","voo doméstico",332,331,663,723,754,1477,0,0,0,0
"144",2012-04-01,"sbsn","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"145",2012-04-01,"sbsp","transporte regular","voo doméstico",6298,6411,12709,722345,682120,1404465,0,0,0,0
"146",2012-04-01,"sbsp","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"147",2012-04-01,"sbsp","transporte não regular","voo doméstico",2340,2234,4574,8104,9473,17577,0,0,0,0
"148",2012-04-01,"sbsp","transporte não regular","voo internacional",71,76,147,0,0,0,0,0,0,0
"149",2012-04-01,"sbte","transporte regular","voo doméstico",431,432,863,40268,42132,82400,0,0,0,0
"150",2012-04-01,"sbte","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"151",2012-04-01,"sbte","transporte não regular","voo doméstico",205,206,411,1060,890,1950,0,0,0,0
"152",2012-04-01,"sbte","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"153",2012-04-01,"sbtf","transporte regular","voo doméstico",73,73,146,1388,1486,2874,0,0,0,0
"154",2012-04-01,"sbtf","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"155",2012-04-01,"sbtf","transporte não regular","voo doméstico",447,448,895,2496,2476,4972,3606,7211,10817,14919
"156",2012-04-01,"sbtf","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"157",2012-04-01,"sbtt","transporte regular","voo doméstico",39,39,78,1258,1365,2623,0,0,0,0
"158",2012-04-01,"sbtt","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"159",2012-04-01,"sbtt","transporte não regular","voo doméstico",53,54,107,213,207,420,2357,3574,5931,449
"160",2012-04-01,"sbtt","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"161",2012-04-01,"sbuf","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"162",2012-04-01,"sbuf","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"163",2012-04-01,"sbuf","transporte não regular","voo doméstico",30,29,59,60,78,138,0,0,0,0
"164",2012-04-01,"sbuf","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"165",2012-04-01,"sbug","transporte regular","voo doméstico",20,20,40,132,122,254,0,0,0,0
"166",2012-04-01,"sbug","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"167",2012-04-01,"sbug","transporte não regular","voo doméstico",6,5,11,14,14,28,0,0,0,0
"168",2012-04-01,"sbug","transporte não regular","voo internacional",4,4,8,0,0,0,0,0,0,0
"169",2012-04-01,"sbul","transporte regular","voo doméstico",573,575,1148,38278,37282,75560,0,0,0,0
"170",2012-04-01,"sbul","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"171",2012-04-01,"sbul","transporte não regular","voo doméstico",522,526,1048,1353,1339,2692,0,0,0,0
"172",2012-04-01,"sbul","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"173",2012-04-01,"sbur","transporte regular","voo doméstico",209,212,421,7014,7222,14236,0,0,0,0
"174",2012-04-01,"sbur","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"175",2012-04-01,"sbur","transporte não regular","voo doméstico",209,198,407,905,927,1832,0,0,0,0
"176",2012-04-01,"sbur","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"177",2012-08-01,"sbbe","transporte regular","voo doméstico",1724,1744,3468,145209,141486,286695,117067,401391,518458,0
"178",2012-08-01,"sbbe","transporte regular","voo internacional",29,28,57,2231,2445,4676,0,16,16,0
"179",2012-08-01,"sbbe","transporte não regular","voo doméstico",623,608,1231,2802,5190,7992,0,0,0,0
"180",2012-08-01,"sbbe","transporte não regular","voo internacional",14,11,25,20,32,52,0,0,0,0
"181",2012-08-01,"sbbg","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"182",2012-08-01,"sbbg","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"183",2012-08-01,"sbbg","transporte não regular","voo doméstico",7,6,13,46,45,91,0,0,0,0
"184",2012-08-01,"sbbg","transporte não regular","voo internacional",1,1,2,6,6,12,0,0,0,0
"185",2012-08-01,"sbbh","transporte regular","voo doméstico",712,716,1428,20497,22128,42625,0,0,0,0
