CODMUNRES,n_obitos,n_obitos_tb,n_obitos_mulheres,prop_mulheres,n_obitos_menos5,CITY,IBGE_RES_POP,IBGE_RES_POP_BRAS,IBGE_RES_POP_ESTR,IBGE_DU,IBGE_DU_URBAN,IBGE_DU_RURAL,IBGE_POP,IBGE_1,IBGE_1-4,IBGE_5-9,IBGE_10-14,IBGE_15-59,IBGE_60+,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM Ranking 2010,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao
290810,84,1,26,30.952380952380953,2,cocos,18153,18153,0,4867,2397,2470,8542,139,594,785,768,5273,983,38123,206575,4249,0.596,0.558,0.805,0.471
290820,133,0,58,43.609022556390975,0,conceição da feira,20391,20391,0,5673,3644,2029,13111,188,873,1163,1233,8425,1229,533,2497,3428,0.634,0.606,0.766,0.548
290830,136,0,68,50,0,conceição do almeida,17889,17889,0,5105,2330,2775,7892,91,392,589,706,5183,931,1294,3197,4023,0.606,0.578,0.805,0.479
290840,365,0,149,40.821917808219176,4,conceição do coité,62040,62040,0,18551,11340,7211,36238,554,2310,3134,3223,23166,3851,15783,30871,3886,0.611,0.587,0.752,0.517
290850,204,0,78,38.23529411764706,0,conceição do jacuípe,30123,30123,0,8918,6987,1931,23503,341,1404,1877,1977,15536,2368,1150,5870,2831,0.66,0.63,0.799,0.579
290860,123,1,58,47.15447154471545,2,conde,23620,23609,11,6158,3289,2869,11992,186,771,1260,1381,7159,1235,14122,83043,5059,0.56,0.551,0.705,0.451
290870,131,0,57,43.51145038167939,0,condeúba,16898,16898,0,4699,2177,2522,7461,100,457,643,707,4508,1046,1944,1422,4590,0.58,0.559,0.789,0.447
290880,32,0,11,34.375,0,contendas do sincorá,4663,4663,0,1355,705,650,2269,29,137,173,214,1388,328,1133,5154,4705,0.58,0.579,0.695,0.477
290890,171,0,79,46.198830409356724,0,coração de maria,22401,22401,0,6231,2743,3488,9369,135,573,744,917,6018,982,2350,8375,4345,0.59,0.558,0.762,0.489
290900,55,0,24,43.63636363636363,0,cordeiros,8168,8168,0,2212,749,1463,2551,35,136,223,242,1581,334,1140,1520,4655,0.579,0.561,0.763,0.454
290910,79,0,42,53.16455696202531,0,coribe,14307,14307,0,4250,1869,2381,6135,92,396,549,616,3652,830,1160,6496,4147,0.6,0.545,0.807,0.491
290920,92,0,31,33.69565217391305,1,coronel joão sá,17066,17066,0,4896,2128,2768,7031,130,490,640,806,4246,719,12600,1424,5361,0.535,0.545,0.716,0.392
290930,173,0,87,50.28901734104046,2,correntina,31249,31249,0,8772,3798,4974,12554,192,754,1069,1194,7908,1437,251218,903149,4084,0.603,0.575,0.792,0.481
